dimension,value,sample_size,review_n,review_coverage,delivery_mean_days,delivery_median_days,late_orders,late_rate,estimated_gap_mean_days,review_mean,review_median,low_rating_n,low_rating_rate,low_ci_lower,low_ci_upper,one_star_rate,analysis_window,cohort_definition,denominator
month,2017-06,3135,3111,0.9923444976076555,12.011572704383013,10.804907407407407,95,0.030303030303030304,-12.644338118022329,4.222757955641273,5.0,334,0.10736097717775635,0.09696288529816197,0.11872753352497106,0.07971713275474124,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-07,3872,3842,0.9922520661157025,11.592732387200606,10.158072916666665,108,0.027892561983471075,-12.47081611570248,4.259500260281103,5.0,382,0.09942738157209786,0.0903617895644032,0.10929320584878487,0.06871421134825612,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-08,4193,4165,0.993322203672788,11.147124655510508,9.769814814814815,122,0.02909611256856666,-13.09754352492249,4.312845138055222,5.0,391,0.09387755102040816,0.08539038018158593,0.10311318047984483,0.06578631452581032,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-09,4150,4118,0.9922891566265061,11.85100652889335,10.314432870370371,182,0.04385542168674699,-11.348192771084337,4.267848470131131,5.0,423,0.10271976687712482,0.09381447011936658,0.11236557521014098,0.0718795531811559,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-10,4478,4446,0.9928539526574364,11.856699698526128,10.263362268518518,187,0.041759714158106295,-11.923403305046897,4.204903283850652,5.0,492,0.1106612685560054,0.10177387606355758,0.12022087767368993,0.08569500674763833,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-11,7288,7237,0.9930021953896817,15.161131699241777,12.698680555555555,904,0.12403951701427003,-8.123490669593853,3.9888075169269035,5.0,1199,0.1656763852425038,0.1572884192755796,0.1744190863341177,0.13085532679286999,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-12,5513,5461,0.9905677489570107,15.39491853010729,13.1421875,411,0.07455106112824234,-13.008525303827318,4.088445339681377,5.0,788,0.14429591649880974,0.13522620052059572,0.15386571014603537,0.10803882072880425,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-01,7069,7013,0.9920780874239638,14.080562613956085,11.830115740740741,403,0.05700947800254633,-12.934361295798556,4.108512762013404,5.0,961,0.13703122771994866,0.12918140197425315,0.1452784771783202,0.10337943818622558,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-02,6555,6507,0.9926773455377574,16.94513756815549,14.26375,926,0.14126620900076278,-8.290770404271548,3.880590133702167,5.0,1261,0.1937913016751191,0.1843691809492055,0.20357475453070994,0.15644690333487013,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-03,7003,6948,0.9921462230472654,16.30141017440938,13.367731481481481,1328,0.18963301442239042,-6.427673854062545,3.812607944732297,5.0,1471,0.21171560161197467,0.2022703791860846,0.2214794252751387,0.17515831894070236,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-04,6798,6752,0.9932333039129155,11.499241053673193,9.314728009259259,306,0.04501323918799647,-12.89511621065019,4.205864928909953,5.0,796,0.1178909952606635,0.11041549115577924,0.12580104360868014,0.08738151658767772,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-05,6749,6722,0.9959994073196029,11.419028935356678,9.14787037037037,443,0.06563935397836716,-12.190991257964143,4.236387979767926,5.0,723,0.10755727462064861,0.10037371173616161,0.1151891241851758,0.0834573043736983,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-06,6096,6072,0.9960629921259843,9.239216293167347,7.95761574074074,71,0.011646981627296589,-19.244094488188978,4.307312252964427,5.0,606,0.09980237154150198,0.09251439868824562,0.1075963953575039,0.07131093544137022,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2018-07,6156,6118,0.9938271604938271,8.958636237154957,7.5017245370370365,208,0.03378817413905133,-11.441520467836257,4.317423994769532,5.0,592,0.09676364825106244,0.08960669608825571,0.10442666247074213,0.07273618829682903,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
