category,merchandise_cents,freight_cents,orders,items,review_n,review_mean,delivery_n,delivery_mean_days,late_n,late_orders,sample_size,aov_proxy_brl,freight_ratio,late_rate,h1_2017_cents,h1_2017_orders,h1_2018_cents,h1_2018_orders,h1_growth,growth_eligible,high_gmv,high_growth,poor_cx_screen,high_late_screen,high_freight_screen,gmv_share,matrix_tags,analysis_window,cohort_definition,denominator
christmas_supplies,820847,299192,115,140,113,4.115044247787611,115,16.120643518518516,115,10.0,115,71.378,0.36449179932435644,0.08695652173913043,25370,3,487197,59,18.203665746945212,False,False,False,False,False,True,0.000665059990044165,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
tablets_printing_image,752841,122620,79,83,77,4.1558441558441555,79,12.82902587318331,79,4.0,79,95.29632911392406,0.1628763576904021,0.05063291139240506,450886,35,126796,20,-0.7187847926083312,False,False,False,False,False,False,0.000609960721017241,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
cine_photo,607918,110259,55,61,55,4.327272727272727,55,11.126152567340068,55,4.0,55,110.53054545454546,0.18137150076161587,0.07272727272727272,31500,5,420564,40,12.351238095238095,False,False,False,False,False,False,0.0004925423849117664,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
music,553654,60571,32,32,32,4.125,32,12.094197048611111,32,2.0,32,173.016875,0.10940226206258782,0.0625,117449,9,312885,18,1.6640073563844733,False,False,False,False,False,False,0.00044857704752275653,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
dvds_blu_ray,453369,121986,55,60,55,4.181818181818182,55,13.103848274410774,55,4.0,55,82.43072727272727,0.26906559557446585,0.07272727272727272,214959,15,103982,20,-0.5162705446154848,False,False,False,False,False,False,0.00036732494926135207,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
furniture_mattress_and_upholstery,432338,158137,37,37,37,3.891891891891892,37,14.432969532032033,37,5.0,37,116.8481081081081,0.3657716878923435,0.13513513513513514,70529,4,164520,18,1.3326574884090232,False,False,False,False,False,False,0.00035028538323915936,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
books_imported,366986,67612,49,56,49,4.428571428571429,49,8.034443263416478,49,2.0,49,74.89510204081633,0.1842359109066831,0.04081632653061224,11899,2,236408,33,18.867888057819986,False,False,False,False,False,False,0.00029733641653846327,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
party_supplies,317990,51506,24,28,24,3.9583333333333335,24,10.310398341049384,24,0.0,24,132.49583333333334,0.1619736469700305,0.0,0,0,127900,13,,False,False,False,False,False,False,0.0002576392753267589,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashio_female_clothing,245007,52961,33,41,33,3.878787878787879,33,12.861610549943885,33,2.0,33,74.24454545454545,0.21616117090532108,0.06060606060606061,104830,14,48669,6,-0.5357340455976343,False,False,False,False,False,False,0.00019850758177924845,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
PT:portateis_cozinha_e_preparadores_de_alimentos,213003,19246,9,10,9,3.3333333333333335,9,9.083816872427983,9,1.0,9,236.67,0.0903555348985695,0.1111111111111111,0,0,195800,2,,False,False,False,False,False,False,0.00017257756081142685,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
la_cuisine,205499,33355,13,14,12,4.25,13,7.7449403490028494,13,0.0,13,158.07615384615386,0.16231222536362708,0.0,21700,2,78100,3,2.5990783410138247,False,False,False,False,False,False,0.00016649773087321494,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashion_sport,202462,54988,25,28,25,4.44,25,10.633741203703703,25,1.0,25,80.98479999999999,0.2715966452964013,0.04,82502,13,29960,4,-0.6368572883081622,False,False,False,False,False,False,0.0001640371173974221,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
diapers_and_hygiene,113400,48427,21,33,21,3.8095238095238093,21,10.201085758377426,21,0.0,21,54.0,0.4270458553791887,0.0,0,0,93700,17,,False,False,False,False,False,False,9.187802705133638e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
flowers,111004,48887,29,33,28,4.392857142857143,29,11.492039431673051,29,1.0,29,38.27724137931035,0.44040755288097727,0.034482758620689655,0,0,79155,19,,False,False,False,False,False,False,8.993675938982843e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
PT:pc_gamer,108795,10352,6,7,6,3.3333333333333335,6,10.281427469135803,6,0.0,6,181.325,0.09515143159152535,0.0,51996,4,12999,1,-0.75,False,False,False,False,False,False,8.814700134964852e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
arts_and_craftmanship,91225,20284,14,15,14,3.9285714285714284,14,6.052374338624339,14,1.0,14,65.16071428571428,0.22235132913126884,0.07142857142857142,2199,1,10579,2,3.8108231014097314,False,False,False,False,False,False,7.39115786398427e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
home_comfort_2,76027,41031,24,30,23,3.8260869565217392,24,14.496567322530865,24,3.0,24,31.677916666666665,0.5396898470280295,0.125,44148,7,11239,5,-0.7454244812902057,False,False,False,False,False,False,6.15979785064546e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
cds_dvds_musicals,73000,22499,12,14,12,4.666666666666667,12,10.920239197530863,12,0.0,12,60.83333333333333,0.3082054794520548,0.0,0,0,6500,1,,False,False,False,False,False,False,5.914546714944935e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashion_childrens_clothes,51995,7872,7,7,7,5.0,7,8.81947585978836,7,0.0,7,74.27857142857142,0.1513991729974036,0.0,22000,2,16997,3,-0.2274090909090909,False,False,False,False,False,False,4.212696663610437e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
security_and_services,28329,4122,2,2,2,2.5,2,15.138153935185183,2,0.0,2,141.645,0.14550460658688977,0.0,18329,1,0,0,-1.0,False,False,False,False,False,False,2.2952492313380146e-05,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
