comparison,start_month,end_month,factor,start_value,end_value,gmv_change_brl,shapley_contribution_brl,contribution_share,sample_size,analysis_window,cohort_definition,denominator
mom_2017-12,2017-11,2017-12,unique_customers,7183.0,5450.0,-261732.18,-234585.24812194685,0.8962797319074286,12802,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-12,2017-11,2017-12,purchase_frequency,1.014757065293053,1.011559633027523,-261732.18,-2700.1207536438205,0.010316349917858098,12802,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-12,2017-11,2017-12,aov,135.51452462614898,131.69475603119898,-261732.18,-24446.811124409396,0.09340391817471354,12802,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-01,2017-12,2018-01,unique_customers,5450.0,6974.0,198611.81,202541.3619056235,1.0197850868265261,12582,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-01,2017-12,2018-01,purchase_frequency,1.011559633027523,1.013622024663034,198611.81,1681.2701866324835,0.008465106816319148,12582,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-01,2017-12,2018-01,aov,131.69475603119898,130.80280096194653,198611.81,-5610.822092255907,-0.028250193642844836,12582,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-02,2018-01,2018-02,unique_customers,6974.0,6400.0,-98207.87,-75117.1106583296,0.764878727726501,13624,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-02,2018-01,2018-02,purchase_frequency,1.013622024663034,1.02421875,-98207.87,9103.69833738638,-0.09269825664059694,13624,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-02,2018-01,2018-02,aov,130.80280096194653,126.0773653699466,-98207.87,-32194.457679056777,0.327819528914096,13624,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-03,2018-02,2018-03,unique_customers,6400.0,6914.0,126919.12,68633.55705888904,0.5407660962263924,13558,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-03,2018-02,2018-03,purchase_frequency,1.02421875,1.0128724327451548,126919.12,-9907.672642611182,-0.07806288479317523,13558,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-03,2018-02,2018-03,aov,126.0773653699466,136.13540625446237,126919.12,68193.23558372215,0.537296788566783,13558,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-04,2018-03,2018-04,unique_customers,6914.0,6744.0,20177.84,-23991.663132017344,-1.1890104754531379,13801,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-04,2018-03,2018-04,purchase_frequency,1.0128724327451548,1.0080071174377223,20177.84,-4640.152990001874,-0.2299628201037313,13801,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-04,2018-03,2018-04,aov,136.13540625446237,143.2088982053545,20177.84,48809.656122018954,2.418973295556856,13801,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-05,2018-04,2018-05,unique_customers,6744.0,6693.0,4010.6,-7405.459584232768,-1.8464717459314737,13547,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-05,2018-04,2018-05,purchase_frequency,1.0080071174377223,1.0083669505453459,4010.6,348.18568332336145,0.08681635748350906,13547,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-05,2018-04,2018-05,aov,143.2088982053545,144.8428937620388,4010.6,11067.873900909615,2.759655388448017,13547,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-06,2018-05,2018-06,unique_customers,6693.0,6061.0,-121466.83,-90785.32163253339,0.7474083388241333,12848,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-06,2018-05,2018-06,purchase_frequency,1.0083669505453459,1.006269592476489,-121466.83,-1907.7924504129915,0.01570628335664141,12848,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-06,2018-05,2018-06,aov,144.8428937620388,140.36364322020003,-121466.83,-28773.715917053574,0.236885377819225,12848,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-07,2018-06,2018-07,unique_customers,6061.0,6100.0,11875.6,5528.84440888738,0.46556337438844186,12258,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-07,2018-06,2018-07,purchase_frequency,1.006269592476489,1.009672131147541,11875.6,2909.8096816074685,0.24502422459559672,12258,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2018-07,2018-06,2018-07,aov,140.36364322020003,140.92441305406723,11875.6,3436.9459095052443,0.2894124010159692,12258,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
